ID,name,description,products_ID
1,mplampla,Ti na pw,1
2,Smartphone,High-end smartphone with advanced features,2
3,Smartwatch,Track your fitness and stay connected on the go,3
4,Headphones,Premium noise-cancelling headphones for immersive audio,4
5,Laptop,Ultra-slim laptop with powerful performance,5
6,Tablet,Portable tablet for work and entertainment,6
7,Speaker,Wireless speaker with crisp sound quality,7
8,Smart TV,Smart TV with 4K resolution and streaming capabilities,8
9,Game Console,Next-gen gaming console for immersive gaming experiences,9
10,Camera,High-resolution camera for capturing memories,10
